Time	Text	Length	Number	Rocket_type	Rocket_number	for_search	Updated_date	Update_info	memo	
01/01 07:00:00	【今日の人工衛星】1/1 1990年：JCSAT-2 日本のJSAT(現・スカパーJSAT)保有の通信衛星。タイタンIIIロケットで打上、東経154度からサービスを提供。現在は寿命が切れている。	97	n010101d							
01/02 07:00:00	【今日の人工衛星】1/2 1959年：ルナ1号 旧ソ連の月探査機。旧ソ連は失敗した打上に番号を振らないため、月を目指した探査機としては4機目。月着陸には失敗したが人類初の人工惑星となった。	94	n010201d							
01/03 07:00:00	【今日の人工衛星】1/3 1999年：マーズ・ポーラー・ランダー アメリカの火星探査機。火星の近傍までは無事に到着したものの、通信が途絶え、行方不明となった。現在も探査機の跡は見つかっていない	96	n010301d							
01/04 07:00:00	【今日の人工衛星】1/4 1963年：スプートニク25号 旧ソ連の月探査機。世界初の月軟着陸を目指し着陸機を搭載。月面の写真を撮影する予定だったが、地球周回軌道からの脱出に失敗、大気圏に再突入した。	99	n010401d							
01/05 07:00:00	【今日の人工衛星】1/5 1969年：ベネラ5号 旧ソ連の金星探査機。ベネラ4号の観測結果を踏まえ、大気の測定がより精密に出来るようにされていた。	73	n010501d							
01/06 07:00:00	【今日の人工衛星】1/6 2003年：Coriolis アメリカの打ち上げた衛星。海面を吹く風を観測するWindSatと、太陽からの物質の放出を観測するSMEIを搭載	83	n010601d							
01/07 07:00:00	【今日の人工衛星】1/7 1998年：ルナ・プロスペクター アメリカの月探査機。クレメンタインの観測が示唆した月面の氷の存在の検証が重要な目的。中性子線分光計により水素の存在が確認され、水の存在の示唆が得られた	105	n010701d							
01/08 07:00:00	【今日の人工衛星】1/8 1985年：さきがけ　日本のハレー彗星探査機。8/19に打ち上げられた「すいせい」の姉妹機にあたり、さきがけでの経験が「すいせい」にフィードバックされた。	90	n010801d	J_M3S2	1	J_M3S2_1				
01/08 04:26:00	★1985年の今日1/8 4:26、M-3SIIロケット1号機でハレー彗星探査試験機さきがけが打ち上げられました。	57	n010801t1	J_M3S2	1	J_M3S2_1				
01/09 07:00:00	【今日の人工衛星】1/9 1990年：STS-32 スペースシャトル・コロンビアの打上。通信衛星の打ち上げと、長期暴露試験衛星LDEFの回収が目的。LDEFは6年間も宇宙を漂っていた。	92	n010901d							
